timestamp_abs,timestamp_rel,msg_num,vehicle_timestamp,x,y,z,roll,pitch,yaw,battery_pct,voltage,temperature,pressure,integrity,rssi
1765983588.0890594,0.0,1,351.816162109375,1.4392735958099365,1.1910181045532227,-0.9008998870849609,0.9203981161117554,-7.966613292694092,-101.05990600585938,100.0,12.0,9.640000343322754,1101.5,190,-59
1765983597.6812823,9.592222929000854,2,362.9948425292969,5.830816745758057,2.589125871658325,-0.8996971845626831,0.9855019450187683,-8.085054397583008,-90.16255187988281,100.0,12.0,9.640000343322754,1101.0999755859375,149,-59
1765983609.1649413,21.075881958007812,3,374.48089599609375,13.653751373291016,7.104407787322998,-0.9036012291908264,1.2507507801055908,-8.186592102050781,-89.74654388427734,100.0,12.0,9.640000343322754,1101.4000244140625,151,-59
1765983613.8291004,25.74004101753235,4,379.1384582519531,18.145158767700195,10.087072372436523,-0.9048617482185364,1.3957360982894897,-8.118229866027832,-87.39281463623047,100.0,12.0,9.649999618530273,1101.300048828125,144,-59
1765983618.619188,30.530128717422485,5,383.9311828613281,23.677204132080078,14.279950141906738,-0.9009758830070496,1.2152539491653442,-8.425773620605469,-90.63433837890625,100.0,12.0,9.640000343322754,1101.0999755859375,158,-59
1765983629.874359,41.78529953956604,6,395.18804931640625,40.969844818115234,28.384122848510742,-0.9024248123168945,1.0635666847229004,-8.226025581359863,-97.38387298583984,100.0,12.0,9.649999618530273,1101.300048828125,146,-59
1765983641.3079147,53.21885538101196,7,406.6194763183594,63.6877326965332,47.14322280883789,-0.8976128101348877,1.0963994264602661,-8.649881362915039,-92.77879333496094,100.0,12.0,9.640000343322754,1100.5999755859375,166,-59
1765983652.685133,64.59607362747192,8,417.9983215332031,89.48928833007812,69.54832458496094,-0.9045190215110779,0.7813252210617065,-8.08364200592041,-94.13494873046875,100.0,12.0,9.640000343322754,1101.300048828125,155,-59
1765983664.181497,76.09243774414062,9,429.4880676269531,116.62745666503906,93.24163055419922,-0.896186888217926,0.5187197923660278,-10.276135444641113,-72.9967041015625,100.0,12.0,9.640000343322754,1100.9000244140625,175,-63
1765983675.6023579,87.51329851150513,10,440.9092712402344,141.52391052246094,116.13538360595703,-0.9008682370185852,1.160159945487976,-7.9115190505981445,-85.33268737792969,100.0,12.0,9.640000343322754,1101.0999755859375,110,-61
1765983691.6136875,103.52462816238403,11,456.8391418457031,170.19415283203125,144.98524475097656,-0.9012045860290527,-0.13642634451389313,-11.888506889343262,-104.63742065429688,100.0,12.0,9.640000343322754,1101.199951171875,170,-62
1765983701.0935845,113.00452518463135,12,466.3980407714844,188.17208862304688,159.9777374267578,-0.903683066368103,1.0275694131851196,-8.635337829589844,-96.00025177001953,100.0,12.0,9.640000343322754,1101.5,140,-63
1765983712.5686326,124.4795732498169,13,477.8731384277344,211.9373016357422,175.1503448486328,-0.7621505856513977,-1.6338640451431274,-8.174009323120117,-107.03144073486328,100.0,12.0,9.640000343322754,1086.800048828125,136,-62
